case_id,test_index,selection_reason,source_length,bucket,rare_source_tokens,source,reference,lstm_no_attention_greedy,lstm_attention_selected,gated_attention_selected,transformer_selected,lstm_no_attention_greedy_token_f1,lstm_attention_selected_token_f1,gated_attention_selected_token_f1,transformer_selected_token_f1,f1_spread,best_model_by_token_f1,worst_model_by_token_f1,error_tags,notes
11,216,high model disagreement,9,1-10,chilling,people chilling in at forest next to canoes .,leute entspannen in einem wald neben kanus .,leute in gehen in der nacht .,menschen in einem wald auf dem wasser .,menschen sich in einem studio an bord verschiedener boote .,menschen in kanus neben einem wald .,0.2,0.3333333333333333,0.15384615384615383,0.7272727272727272,0.5734265734265733,transformer_selected,gated_attention_selected,rare word,Best by token F1: transformer_selected; worst: gated_attention_selected; selected for high model disagreement.
12,153,high model disagreement,9,1-10,,a woman is holding a small white statue .,eine frau hält eine kleine weiße statue .,eine frau hält einen weißen langhaarigen hund .,eine frau hält ein kleines weißes rohr .,eine frau hält ein kleines weißes menü .,eine frau hält eine kleine weiße statue .,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,transformer_selected,lstm_no_attention_greedy,action error; correct/paraphrase,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for high model disagreement.
13,874,long source sentence,33,31+,,"a man wearing a gray shirt , blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background .","ein mann mit einem grauen shirt , blauen jeans und neongrüner sicherheitsweste steht mit einem weißen lieferwagen und einem weißen gebäude im hintergrund auf einer bahnstrecke .","ein mann in einem grauen oberteil und mit einem blauen oberteil , der in einem grauen gebäude mit einem grauen gebäude auf einem gebäude geparkt ist , fährt ein gelbes gebäude .","ein mann in einem grauen hemd , blauer jeans und einem grünen steht auf einem gerüst und hat einen weißen lkw mit einem weißen lkw und einem weißen gebäude im hintergrund .",ein mann in einem grauen t - shirt und jeans fährt ein auf einer strecke mit einem weißen helm und einem weißen gebäude im hintergrund .,ein mann in einer weißen weste und einer blauen weste steht auf einer mit einem grünen lkw im hintergrund .,0.4615384615384615,0.6296296296296295,0.7499999999999999,0.5581395348837209,0.2884615384615384,gated_attention_selected,lstm_no_attention_greedy,action error; modifier loss; repetition; long sentence compression; fluent but incomplete,Best by token F1: gated_attention_selected; worst: lstm_no_attention_greedy; selected for long source sentence.
14,960,long source sentence,33,31+,,a man in a black jacket and checkered hat wearing black and white striped pants plays an electric guitar on a stage with a singer and another guitar player in the background .,ein mann mit kariertem hut in einer schwarzen jacke und einer schwarz - weiß gestreiften hose spielt auf einer bühne mit einem sänger und einem weiteren gitarristen im hintergrund auf einer e - gitarre .,"ein mann in einer schwarzen jacke und mit einem weißen hut , der andere in einem schwarz - weiß gestreiften oberteil spielt , während ein kleines mädchen auf einem instrument spielt .","ein mann in einer schwarzen jacke und mit einem braunen hut , schwarzen hut und einem gestreiften hut spielt auf einer bühne mit einem stadtbild im hintergrund gitarre .",ein mann in einer schwarzen jacke und mit hut und schwarzer kleidung spielt auf einer bühne gitarre und ein anderer mann spielt gitarre und ein anderer singt im hintergrund .,ein sänger in einer schwarzen jacke und einem weißen hut spielt auf der bühne mit einem anderen mann mit einem gestreiften hut und einer e - gitarre und einer e - gitarre .,0.5263157894736842,0.7017543859649122,0.5423728813559322,0.7,0.17543859649122806,lstm_attention_selected,lstm_no_attention_greedy,action error; modifier loss; repetition; long sentence compression,Best by token F1: lstm_attention_selected; worst: lstm_no_attention_greedy; selected for long source sentence.
15,358,long source sentence,30,21-30,,"two males seem to be conversing while standing in front of a truck ' s back , and behind a metal item , while four people stand around them .",zwei männer stehen vor dem heck eines lasters und hinter einem metallgegenstand und unterhalten sich anscheinend während vier weitere personen um sie herum stehen .,"zwei männer stehen vor einem stand , während zwei männer und eine andere person stehen , um ihn herum zu .",zwei männer scheinen sich vor einer reihe von männern und hinter ihnen stehen neben einem lkw und hinter ihnen stehen herum .,"zwei männliche security - stehen an einem lkw und werden von zwei personen hinter ihnen stehen , während andere menschen daneben zugucken .","vier personen stehen vor einem lkw , während zwei personen hinter ihnen steht und unterhalten .",0.4761904761904762,0.4888888888888889,0.372093023255814,0.5263157894736842,0.15422276621787018,transformer_selected,gated_attention_selected,action error; repetition; long sentence compression; fluent but incomplete,Best by token F1: transformer_selected; worst: gated_attention_selected; selected for long source sentence.
16,8,long source sentence,29,21-30,,"a boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him .","ein junge in einem roten trikot versucht , die home base zu erreichen , während der catcher im blauen trikot versucht , ihn zu fangen .","ein junge in einem roten trikot versucht , den ball zu fangen , während er sich in der luft schwebt , während der fänger im hintergrund zusieht .","ein junge in einem roten trikot versucht , den ball zu treffen , während der schiedsrichter im blauen trikot abzuwehren .","ein junge in einem roten trikot versucht den ball zu fangen , während der batter in das blau - spieler versucht , den wurf zu blocken .","ein junge in einem roten trikot versucht , den ball zu fangen , während ein rot - spieler in einem .",0.5116279069767442,0.6315789473684211,0.5714285714285714,0.5,0.13157894736842113,lstm_attention_selected,transformer_selected,action error; modifier loss; repetition; long sentence compression,Best by token F1: lstm_attention_selected; worst: transformer_selected; selected for long source sentence.
17,882,long source sentence,29,21-30,,"two girls , one older and in black and one younger and in white , are performing the same ballet move in front of decorations made from balloons .","zwei mädchen , eines älter und in schwarz , das andere jünger und in weiß , machen dieselbe tanzbewegung vor einer dekoration aus ballons .",zwei mädchen und ein junge – beide in schwarz - weißer kleidung – beteiligen sich vor einem auf dem tisch und warten auf den anderen .,"zwei mädchen , eine von ihnen und eine frau , beide in weißen und lilafarbener kleidung , posieren für die vor der von 50 % .","zwei mädchen , einer davon und ein schwarzer , befinden und ein anderer mann in weißer kleidung posieren vor einer reihe von ihnen und springen in die luft .","zwei ältere mädchen , eins in schwarz und ein jüngerer , führen einen tanz vor dem gleichen tanz auf .",0.3,0.25641025641025644,0.27906976744186046,0.2857142857142857,0.043589743589743546,lstm_no_attention_greedy,lstm_attention_selected,modifier loss; repetition; long sentence compression; fluent but incomplete,Best by token F1: lstm_no_attention_greedy; worst: lstm_attention_selected; selected for long source sentence.
18,828,long source sentence,28,21-30,,"three children in football uniforms of two different teams are playing football on a football field , while another player and an adult stand in the background .",drei kinder in footballtrikots zweier verschiedener mannschaften spielen football auf einem footballplatz während ein weiterer spieler und ein erwachsener im hintergrund stehen .,"drei kinder in schwarz spielen football , während ein spieler in einem trikot rennt , während ein spieler in einem blauen trikot zusieht .","drei kinder in trikots springen vor zwei gegnerischen mannschaften auf einem fußballfeld , während ein anderer trainer und ein schiedsrichter im hintergrund zuschaut .","drei kinder in einem haus mit zwei instrumenten spielen fußball auf einem footballfeld , während ein anderer mann im hintergrund steht und hinter ihnen steht .","drei football - spieler spielen fußball , während ein anderer jugendlicher im hintergrund zuschaut .",0.4615384615384615,0.5238095238095238,0.4545454545454545,0.4848484848484849,0.06926406926406936,lstm_attention_selected,gated_attention_selected,action error; repetition; long sentence compression; fluent but incomplete,Best by token F1: lstm_attention_selected; worst: gated_attention_selected; selected for long source sentence.
19,316,rare source tokens,17,11-20,brought carnations dali lama parasols,"the dali lama during a reception where participants have brought carnations , parasols and prayer flags .","der dalai lama bei einem empfang , zu dem besucher nelken , schirme und gebetsfahnen bringen .",die und .,"die macht einen , wobei sie und warten .","die des wird eine , meine und meine .","ein king moment , während der und fahnen .",0.125,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.09523809523809523,transformer_selected,lstm_attention_selected,rare word; fluent but incomplete,Best by token F1: transformer_selected; worst: lstm_attention_selected; selected for rare source tokens.
20,532,rare source tokens,22,21-30,crush mortar pestle primitive stubble,a solitary woman uses a large primitive mortar and pestle to crush plant material as she stands in a stubble field .,"eine einzelne frau verwendet einen großen einfachen stößel und mörser , um pflanzenmaterial zu zerdrücken , während sie auf einem stoppelfeld steht .","eine frau in einem , das ein großes trägt , hält ein großes und steht brusttief unter dem .","eine orientalische frau verwendet einen großen und , während sie in einem feld ein feld springt .","eine orientalische frau jongliert mit aller kraft einen großen und abzuwehren , um ein gewicht zu .","eine frau steht auf einem feld und , während sie sich .",0.28571428571428575,0.5294117647058824,0.4,0.5333333333333333,0.24761904761904757,transformer_selected,lstm_no_attention_greedy,rare word; modifier loss; repetition; long sentence compression; fluent but incomplete,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for rare source tokens.
21,237,rare source tokens,13,11-20,bell period revolutionary ringing,"a man , wearing revolutionary period clothes , is ringing a bell .",ein mann mit kleidung aus dem unabhängigkeitskrieg schlägt eine glocke .,ein mann mit trägt einen blumenstrauß .,ein mann in kleidung eine .,ein mann in kleidung eine .,ein mann in kleidung trägt ein - - .,0.37499999999999994,0.5714285714285715,0.5714285714285715,0.4,0.19642857142857156,lstm_attention_selected,lstm_no_attention_greedy,rare word; action error; fluent but incomplete,Best by token F1: lstm_attention_selected; worst: lstm_no_attention_greedy; selected for rare source tokens.
22,733,rare source tokens,11,11-20,awaits currency exchange traveler,an oriental traveler awaits his turn at the currency exchange .,ein orientalischer reisender wartet am wechselschalter bis er dran ist .,ein - nimmt an einem teil .,ein mit dem bei der .,ein nackter cowboy - überprüft seine am .,"ein orientalischer regelt den , dass sein tag .",0.14285714285714288,0.13333333333333333,0.25,0.23529411764705882,0.11666666666666667,gated_attention_selected,lstm_attention_selected,rare word; fluent but incomplete,Best by token F1: gated_attention_selected; worst: lstm_attention_selected; selected for rare source tokens.
23,7,strong/correct example,11,11-20,igloo,a group of people standing in front of an igloo .,eine gruppe von menschen steht vor einem iglu .,eine gruppe leute steht vor einem haus .,eine gruppe von menschen steht vor einem .,eine gruppe von menschen steht vor einer .,eine gruppe von menschen steht vor einem iglu .,0.6666666666666666,0.9333333333333333,0.7999999999999999,1.0,0.33333333333333337,transformer_selected,lstm_no_attention_greedy,correct/paraphrase,Best by token F1: transformer_selected; worst: lstm_no_attention_greedy; selected for strong/correct example.
24,9,strong/correct example,7,1-10,,a guy works on a building .,ein typ arbeitet an einem gebäude .,ein mann arbeitet an einem gebäude .,ein typ arbeitet an einem gebäude .,ein typ arbeitet an einem gebäude .,ein mann arbeitet an einem gebäude .,0.8000000000000002,1.0,1.0,0.8000000000000002,0.19999999999999984,lstm_attention_selected,lstm_no_attention_greedy,correct/paraphrase,Best by token F1: lstm_attention_selected; worst: lstm_no_attention_greedy; selected for strong/correct example.
