result_set,model_id,label,decode_label,bucket,bleu,chrf,examples,avg_source_length,avg_reference_length,avg_hypothesis_length,hyp_ref_length_ratio,shorter_than_ref_ratio,longer_than_ref_ratio,equal_length_ratio,avg_abs_length_delta
greedy,transformer_small,Small Transformer,greedy,21-30,13.673089635724226,41.655567994974994,54,23.685185185185187,21.35185185185185,20.962962962962962,0.981786643538595,0.5740740740740741,0.37037037037037035,0.05555555555555555,6.277777777777778
greedy,transformer_small,Small Transformer,greedy,31+,27.967313420783547,54.66655980930468,2,33.0,31.0,32.0,1.032258064516129,0.5,0.5,0.0,2.0
selected,lstm_attention,LSTM attention,beam5_lp1p0,1-10,30.187140914504006,52.3277449782895,283,8.92226148409894,8.53356890459364,8.102473498233216,0.9494824016563147,0.4028268551236749,0.24028268551236748,0.3568904593639576,1.265017667844523
selected,lstm_attention,LSTM attention,beam5_lp1p0,11-20,29.907166439264472,51.76064761923136,661,13.933434190620272,13.039334341906203,12.199697428139183,0.9356073790462931,0.5068078668683812,0.25113464447806355,0.24205748865355523,1.8139183055975794
selected,lstm_attention,LSTM attention,beam5_lp1p0,21-30,15.810712092150553,42.07269979149974,54,23.685185185185187,21.35185185185185,20.814814814814813,0.9748482220294883,0.5370370370370371,0.37037037037037035,0.09259259259259259,2.611111111111111
selected,lstm_attention,LSTM attention,beam5_lp1p0,31+,29.442270728328985,57.85124038747437,2,33.0,31.0,30.5,0.9838709677419355,0.5,0.5,0.0,5.5
selected,gated_attention,Gated attention,beam5_lp1p0,1-10,32.49685904969313,53.82435954847812,283,8.92226148409894,8.53356890459364,8.042402826855124,0.9424430641821946,0.4664310954063604,0.22614840989399293,0.30742049469964666,1.3109540636042403
selected,gated_attention,Gated attention,beam5_lp1p0,11-20,28.73038873183402,51.80831765127455,661,13.933434190620272,13.039334341906203,12.270801815431165,0.9410604478477782,0.5098335854765507,0.26777609682299547,0.22239031770045387,1.8577912254160363
selected,gated_attention,Gated attention,beam5_lp1p0,21-30,14.849390632921668,43.51696274958186,54,23.685185185185187,21.35185185185185,21.64814814814815,1.0138768430182135,0.3888888888888889,0.5185185185185185,0.09259259259259259,2.962962962962963
selected,gated_attention,Gated attention,beam5_lp1p0,31+,24.313994186342747,52.339021616836135,2,33.0,31.0,28.0,0.9032258064516129,1.0,0.0,0.0,3.0
selected,transformer_small,Small Transformer,beam3_lp1p0,1-10,32.90374642537836,57.60460062556656,283,8.92226148409894,8.53356890459364,8.3886925795053,0.9830227743271222,0.3992932862190813,0.28975265017667845,0.31095406360424027,1.3180212014134276
selected,transformer_small,Small Transformer,beam3_lp1p0,11-20,27.237492424519417,53.32009337197026,661,13.933434190620272,13.039334341906203,12.039334341906203,0.9233089685578373,0.5370650529500757,0.2708018154311649,0.19213313161875945,2.13464447806354
selected,transformer_small,Small Transformer,beam3_lp1p0,21-30,12.355993799388406,40.63673517643172,54,23.685185185185187,21.35185185185185,19.51851851851852,0.9141370338248048,0.7777777777777778,0.14814814814814814,0.07407407407407407,6.055555555555555
selected,transformer_small,Small Transformer,beam3_lp1p0,31+,19.873319642135943,51.639587822847346,2,33.0,31.0,26.5,0.8548387096774194,1.0,0.0,0.0,4.5
