model_id,example_id,source_length,hypothesis_length,attention_rows,attention_columns,attention_entropy_mean,attention_max_weight_mean,source,hypothesis,reference
lstm_attention,11,12,10,11,12,0.3424449740942091,0.8290396549484946,a woman holding a bowl of food in a kitchen .,eine frau hält eine mit essen in einer küche .,"eine frau , die in einer küche eine schale mit essen hält ."
lstm_attention,12,12,12,12,12,0.5033942916992598,0.7995286956429482,man sitting using tool at a table in his home .,ein mann sitzt mit einem pinsel im schoß an einem tisch .,"ein sitzender mann , der an einem tisch in seinem haus mit einem werkzeug arbeitet ."
gated_attention,1,11,10,10,11,0.08427326040432531,0.9755623936653137,a man in an orange hat starring at something .,ein mann mit einem orangefarbenen hut starrt etwas an .,"ein mann mit einem orangefarbenen hut , der etwas anstarrt ."
gated_attention,2,17,11,12,17,0.27157234233695376,0.8988115563988686,a boston terrier is running on lush green grass in front of a white fence .,ein rennt auf einem grünen zaun vor einem weißen zaun .,ein boston terrier läuft über saftig - grünes gras vor einem weißen zaun .
gated_attention,3,14,11,13,14,0.2303971324712511,0.9315175826732929,a girl in karate uniform breaking a stick with a front kick .,ein mädchen in kleidung posiert auf einem stock vor einem .,ein mädchen in einem karateanzug bricht ein brett mit einem tritt .
gated_attention,4,19,17,18,19,0.32812191369263394,0.8878949615690443,"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",fünf menschen in kleidung und mit helmen befinden sich im schnee und im hintergrund befinden sich .,fünf leute in winterjacken und mit helmen stehen im schnee mit schneemobilen im hintergrund .
gated_attention,5,27,23,25,27,0.49447631697032873,0.8177004039287568,a man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .,"ein mann in bunt kleidung kleidung einer gruppe von farbenfrohen jacken in farbenfrohen kostümen und hüten , die in einer kleidung trägt .","ein hell gekleideter mann fotografiert eine gruppe von männern in dunklen anzügen und mit hüten , die um eine frau in einem trägerlosen kleid herum stehen ."
gated_attention,6,12,8,9,12,0.2586103213705305,0.888011505206426,a group of people standing in front of an igloo .,eine gruppe von menschen steht vor einem .,eine gruppe von menschen steht vor einem iglu .
gated_attention,7,30,26,27,30,0.5623319025482518,0.7955940189184966,"a boy in a red uniform is attempting to avoid getting out at home plate , while the catcher in the blue uniform is attempting to catch him .","ein junge in einem roten trikot versucht den wurf zu gelangen , während ihn die wellen in blau - abzuwehren , um ihn zu berühren .","ein junge in einem roten trikot versucht , die home base zu erreichen , während der catcher im blauen trikot versucht , ihn zu fangen ."
gated_attention,8,15,14,14,15,0.11553485375637242,0.9547818984304156,a man in a vest is sitting in a chair and holding magazines .,ein mann in einer weste sitzt da in einem stuhl und hält zeitschriften .,ein mann in einer weste sitzt auf einem stuhl und hält magazine .
gated_attention,9,13,10,11,13,0.2647688890597482,0.8944464054974642,a mother and her young song enjoying a beautiful day outside .,eine mutter und ihre kinder genießen einen tag draußen .,eine mutter und ihr kleiner sohn genießen einen schönen tag im freien .
gated_attention,10,18,19,19,18,0.6127437462518573,0.7529620339995936,"men playing volleyball , with one player missing the ball but hands still in the air .","männer spielen volleyball , während ein spieler der gegnerischen mannschaft in ballbesitz ist , den ball zu fangen .","männer , die volleyball spielen , wobei ein mann den ball nicht trifft , während seine hände immer noch in der luft sind ."
gated_attention,11,12,13,13,12,0.18902021215201642,0.9223676874087408,a woman holding a bowl of food in a kitchen .,"eine frau , die eine schüssel in einer küche mit essen rührt .","eine frau , die in einer küche eine schale mit essen hält ."
gated_attention,12,12,9,10,12,0.2728556429142759,0.9118318080902099,man sitting using tool at a table in his home .,ein mann sitzt auf einem tisch in seiner .,"ein sitzender mann , der an einem tisch in seinem haus mit einem werkzeug arbeitet ."
